INVOICE_NO,CUST_ID,ITEM_ID,ITEM_NO,PRODUCT_TYPE,TRX_DATE,QUANTITY
CX47348203,3218,3217532,M25P40-VMN6TPB,MEMORY_EMBEDED,2016/7/26,2500
CX47346522,2470,3326781,AU80610006237AASLBX9,CPU / MPU,2016/7/11,50
CX47348534,16135,740487,MMBD2837LT1G,DISCRETE,2016/7/27,3000
A20160700174,999999999,3434776,IHLP1616ABER2R2M11,PEMCO,2016/7/29,0
CX47346184,2356,70072,MMBT3906LT1G,DISCRETE,2016/7/6,12000
A10085337,2506,3204503,PCA9555DWR,LOGIC IC,2016/7/21,0
CX47347899,10228,3420352,TMP103AYFFR,LINEAR IC,2016/7/25,3000
CX47346191,38381,3311565,OV6922-V09N,OPTICAL AND SENSOR,2016/7/6,1152
5119,999999999,140887,SN74AHC1G126DCKR,LOGIC IC,2016/7/31,0
CX47346636,27495,3216410,SI2303CDS-T1-GE3,DISCRETE,2016/7/11,3000
CX47348680,30377,123164,TLZ24B-GS08,DISCRETE,2016/7/28,2500
5119,999999999,14380729,CC2530F256RHAR,LINEAR IC,2016/7/31,0
CX47345496,16686,14831058,QCA9550-AT4A,CHIPSET / ASP,2016/7/1,651
CX47348656,2506,148734,SN74LVC1G04DBVR,LOGIC IC,2016/7/28,3000
CX47347745,38430,88067,SN74AHC32PWR,LOGIC IC,2016/7/22,50000
CX47348078,3736,3315806,UCC2813PWTR-5,LINEAR IC,2016/7/26,2000
CX47346899,16135,2901183,CAT24C08WI-GT3,MEMORY_SYSTEM,2016/7/13,9000
CX47347172,2506,14677766,FH8065501516762SR1S9,CPU / MPU,2016/7/15,14
CX47347047,2454,15145043,RF2946-000,PEMCO,2016/7/14,4000
CX47346157,53917,3434915,LM75BIMM-3/NOPB,LINEAR IC,2016/7/6,3000
CX47345910,2494,2442248,ESD5B5.0ST1G,DISCRETE,2016/7/4,15000
CX47346143,16135,3326173,"BAV99/8,215",DISCRETE,2016/7/6,9000
CX47348630,35211,135739,"1PS79SB30,115",DISCRETE,2016/7/28,12000
CX47345591,56711,15041950,VJ0805Y102KXABP31,PEMCO,2016/7/1,10000
CX47346492,2470,3252971,CM1213A-02SR,DISCRETE,2016/7/11,3000
CX47348394,2549,149830,SN74LVC1G17DBVR,LOGIC IC,2016/7/26,3000
CX47345430,3447,15006948,CM8063401286503SR1AJ,CPU / MPU,2016/7/1,1
CX47345554,9552,8929651,"WGI210IT,SLJXT",CHIPSET / ASP,2016/7/1,1350
CX47345741,2767244,2219803,NTLJD3115PT1G,DISCRETE,2016/7/4,3000
CX47345708,2478,3222259,SIR466DP-T1-GE3,DISCRETE,2016/7/4,9000
CX47347978,2505,14436755,SN74AUP1G79DSFR,LOGIC IC,2016/7/26,5000
CX47348308,53917,15203071,CL8066201939503SR2DU,CPU / MPU,2016/7/26,10
CX47345431,3447,15436151,CM8066002032201SR2R6,CPU / MPU,2016/7/1,2
CX47345665,9552,149845,SN74LVC2G04DCKR,LOGIC IC,2016/7/4,3000
CX47346799,2767244,8208588,SIA906EDJ-T1-GE3,DISCRETE,2016/7/12,78000
CX47346549,2256,8929652,"WGI210IS,SLJXX",CHIPSET / ASP,2016/7/11,30
CX47346147,16135,14149589,W25Q16DVSSIGT,MEMORY_EMBEDED,2016/7/6,2000
CX47347584,16686,149674,SN74LVC1G08DCKR,LOGIC IC,2016/7/20,6000
CX47347240,8042,262,NC7SB3157P6X,LOGIC IC,2016/7/18,15000
CX47347751,2522,152233,BAT54XV2T1G,DISCRETE,2016/7/22,3000
CX47345350,2470,9477589,CSD17551Q5A,LINEAR IC,2016/7/1,2500
CX47347804,2522,126567,BAT54HT1G,DISCRETE,2016/7/22,3000
CX47346240,16686,149674,SN74LVC1G08DCKR,LOGIC IC,2016/7/6,2208
CX47347804,2522,168132,MMBD2838LT1G,DISCRETE,2016/7/22,3000
CX47347659,9554,14341753,TC58NVG0S3HTA00B4H,MEMORY_EMBEDED,2016/7/21,1440
CX47346270,2117,3408437,ESD7004MUTAG,DISCRETE,2016/7/7,3000
CX47345256,4551,3268820,LM385Z-1.2/NOPB,LINEAR IC,2016/7/1,1800
CX47347804,2522,70057,MMBT2222ALT1G,DISCRETE,2016/7/22,3000
CX47348129,2478,14565274,ISL95870BHRZ-T,LINEAR IC,2016/7/26,6000
CX47345653,8808,10756587,QCA8334-AL3C,CHIPSET / ASP,2016/7/4,500
CX47346327,10348,3223014,2N7002K-T1-GE3,DISCRETE,2016/7/7,15000
CX47347694,29800,14932032,NT5CB256M16DP-EK,MEMORY_EMBEDED,2016/7/21,26000
CX47348303,2343,12667587,AR8031-AL1B,CHIPSET / ASP,2016/7/26,300
CX47348209,53917,14437767,FDMC7200S,LINEAR IC,2016/7/26,9000
CX47348007,2548,70415,MMBT3904LT1G,DISCRETE,2016/7/26,30000
CX47345776,9567,3304233,TPS54232DR,LINEAR IC,2016/7/4,5000
CX47347899,10228,14655738,TPS78218DRVR,LINEAR IC,2016/7/25,51000
CX47345776,9567,3304233,TPS54232DR,LINEAR IC,2016/7/4,2500
CX47347899,10228,3306096,TPS78233DDCR,LINEAR IC,2016/7/25,45000
CX47347477,3651,135978,"BAT85,113",DISCRETE,2016/7/20,10000
CX47348412,2581,15558972,XPGBWT-H1-8C2-R4-0-06,OPTICAL AND SENSOR,2016/7/27,2000
CX47348528,24556,14547728,CM8064601466510SR1KX,CPU / MPU,2016/7/27,1
NQ48664437,24556,14270842,"SSDSC2BB080G401,927197",OTHERS,2015/1/28,0
CX47348412,2581,15383120,XPGBWT-H1-8D3-R3-F-01,OPTICAL AND SENSOR,2016/7/27,3000
CX47347749,2549,15237966,MT41K512M8DA-107:P,MEMORY_EMBEDED,2016/7/22,22000
BP47353634,11141,14762160,FH8065301615010SR1UT,CPU / MPU,2016/4/22,0
CX47346413,2581,15231095,MT41K256M16TW-107:P TRAY,MEMORY_EMBEDED,2016/7/7,150
CX47345923,2581,15472992,XPGBWT-B1-5B4-S4-F-06(CLEO),OPTICAL AND SENSOR,2016/7/4,5000
1616070158,47289,15471068,SEELE 裝甲兵PRO,OTHERS,2016/7/5,10
ST160700218,3135251,10281587,960GM-VGS3 FX/M/ASRK,OTHERS,2016/7/26,0
1616071259/88761654/5,3678259,14925917,M5A78L-M LX3 PLUS-H,OTHERS,2016/7/21,150
1616070569/88761190,52582,15444273,J3160DC-ITX/M/ASRK,OTHERS,2016/7/12,38
1616071186,47289,15471069,SEELE 暗黑者D3,OTHERS,2016/7/20,5
1616070596/88761232,52582,15140961,Z170 EXTREME6/A/ASRK,OTHERS,2016/7/13,5
CX47345923,2581,15472990,XPGBWT-B1-5A3-S4-F-06(CLEO),OPTICAL AND SENSOR,2016/7/4,3000
1616070383/79213935,12772,15145171,V2043WS,OTHERS,2016/7/8,50
1616070160,47289,15471068,SEELE 裝甲兵PRO,OTHERS,2016/7/5,10
1616070254/79213853,2340200,15312982,DS416J,OTHERS,2016/7/6,1
1616070685/普00871189,3584267,14819946,WD1003FZEX-D,OTHERS,2016/7/14,1
1616071139,47289,15570048,SEELE 零號機,OTHERS,2016/7/19,1
1616071187,47289,15436255,SEELE守衛者S3-R,OTHERS,2016/7/20,1
1616071049/88761532,2431204,15201035,DS416,OTHERS,2016/7/18,1
1616070289,47289,15471973,SEELE 魂之座-TB,OTHERS,2016/7/7,200
1616071460,3830256,15531965,LS27E390HS/XF,OTHERS,2016/7/25,50
1616071506/88761819,2968242,15318063,B150M-A,OTHERS,2016/7/26,5
1616070762/普00871192,3584267,14790349,WD10EZEX-D,OTHERS,2016/7/14,1
1616071685,47289,14671860,WD1003FZEX,OTHERS,2016/7/29,5
1616071460,3830256,15531971,LS32F351FUCXXF,OTHERS,2016/7/25,100
1616070088/79213698,2968246,14818083,H61M-K,OTHERS,2016/7/4,33
1616070960,47289,15245997,SEELE 聖騎士S1-X,OTHERS,2016/7/15,1
